Interval (V_i to V_i+1),C3 (x-V_i)^3,C2 (x-V_i)^2,C1 (x-V_i),C0 (pH at V_i)
"[1.0, 2.0]",4.789e-02,-1.987e-01,4.108e-01,4.07
"[2.0, 3.0]",4.789e-02,-5.500e-02,1.571e-01,4.33
"[3.0, 4.0]",-3.946e-02,8.868e-02,1.908e-01,4.48
"[4.0, 5.0]",-3.805e-05,-2.971e-02,2.498e-01,4.72
"[5.0, 6.0]",4.962e-02,-2.983e-02,1.902e-01,4.94
"[6.0, 7.0]",-4.843e-02,1.190e-01,2.794e-01,5.15
"[7.0, 8.0]",3.141e-01,-2.626e-02,3.722e-01,5.50
"[8.0, 9.0]",-5.079e-01,9.160e-01,1.262e+00,6.16
"[9.0, 10.0]",1.176e-01,-6.078e-01,1.570e+00,7.83
"[10.0, 11.0]",1.176e-01,-2.550e-01,7.074e-01,8.91
